NICsChecksID,Month,State,Permit,Permit_Recheck,Handgun,Long_Gun,Other,Multiple,Admin,PrePawn_Handgun,Pre_Pawn_Long_Gun,Prepawn_Other,Redemption_Handgun,Redemption_Long_Gun,Redemption_Other,Returned_Handgun,Returned_Long_Gun,Returned_Other,Rentals_Handgun,Rentals_Long_Gun,Private_Sale_Handgun,private_sale_long_gun,Private_Sale_Other,Return_To_Seller_Handgun,Return_To_Seller_Long_Gun,Return_To_Seller_Other,Totals,Latitude,longitude
0,2022-05,Alabama,17637,337,18288,10569,1085,922,1,11,6,0,2046,751,9,20,0,0,0,0,33,15,5,0,0,0,51735,32.4184,-86.2826
1,2022-05,Alaska,207,10,3193,2463,303,180,0,2,1,0,160,75,0,39,22,0,0,0,2,4,0,0,0,0,6661,61.615,-149.619
2,2022-05,Arizona,9868,1574,18297,8087,1511,1226,0,9,4,1,978,341,5,224,22,1,0,0,7,7,1,0,0,0,42163,33.5093,-112.074
3,2022-05,Arkansas,2496,289,6381,4276,327,376,2,5,5,0,952,734,1,0,0,0,0,0,2,8,0,0,0,0,15854,35.9273,-89.919
4,2022-05,California,18159,11740,37659,23729,5143,0,0,2,0,0,929,376,21,1743,871,214,0,0,7362,3033,607,20,4,0,111612,34.1477,-119.195
5,2022-05,Colorado,6357,19,19421,11234,1495,1590,0,0,0,0,0,0,0,343,42,4,0,0,0,0,0,0,0,0,40505,38.9184,-104.712
6,2022-05,Connecticut,9520,475,5463,1585,1087,0,4,0,0,0,0,0,0,0,0,0,0,0,571,128,81,0,0,0,18914,41.2024,-73.1981
7,2022-05,Delaware,579,0,2071,1209,163,109,0,0,0,0,10,11,1,76,0,0,0,0,69,16,6,1,1,0,4322,39.7454,-75.5726
8,2022-05,District of Columbia,479,0,369,11,0,4,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,878,38.831,-77.002
9,2022-05,Florida,19022,0,59519,20002,4408,2853,1,13,5,0,3218,797,11,1147,78,4,0,0,311,190,56,46,41,1,111723,29.5533,-81.2302
10,2022-05,Georgia,10324,0,20689,7238,779,817,0,9,4,2,1753,628,11,71,0,0,0,0,21,4,1,0,1,0,42352,33.7689,-84.4215
12,2022-05,Hawaii,1331,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1334,21.3186,-157.865
13,2022-05,Idaho,5887,1,6062,5228,569,389,1,0,1,0,254,249,0,50,5,0,0,0,8,6,1,0,0,0,18711,42.5578,-114.471
14,2022-05,Illinois,249554,0,19865,8639,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279089,41.6762,-87.6204
15,2022-05,Indiana,379,53735,19617,9957,1372,896,0,4,3,2,596,233,25,38,8,0,0,0,30,20,0,1,0,0,86916,41.5779,-87.1563
16,2022-05,Iowa,3302,6978,2321,2191,129,79,8,0,1,0,21,30,0,57,20,2,0,0,1,1,0,0,1,0,15142,42.4876,-92.3412
17,2022-05,Kansas,1543,104,5867,4046,499,369,0,6,0,0,434,150,7,73,12,0,0,0,5,1,1,1,0,0,13118,37.6779,-97.3495
18,2022-05,Kentucky,673,318126,9753,6567,505,565,1,10,2,0,1347,668,5,25,2,0,0,0,16,15,3,0,0,0,338283,38.0652,-84.5067
19,2022-05,Louisiana,2025,394,12405,5438,771,592,0,11,2,0,746,398,10,0,0,0,0,0,9,8,1,0,0,0,22810,29.9668,-90.0188
20,2022-05,Maine,524,6,3457,2937,309,212,2,0,0,0,48,35,1,24,6,1,0,0,5,5,0,0,1,0,7573,43.4564,-70.5447
22,2022-05,Maryland,4251,28,7645,5276,123,7,0,0,0,1,93,72,1,104,17,6,0,0,0,17,0,0,0,0,17641,39.3342,-76.6844
23,2022-05,Massachusetts,8416,0,5041,2508,1009,266,8,0,0,0,9,10,3,0,0,0,0,0,12,14,8,1,1,0,17306,41.6942,-71.1366
24,2022-05,Michigan,17208,5510,20573,12514,1690,787,0,0,4,0,21,166,6,83,19,1,0,0,22,11,1,0,0,0,58616,42.3819,-83.2819
25,2022-05,Minnesota,13299,36596,10715,9157,924,596,0,0,1,1,160,161,1,59,10,3,0,0,18,23,5,0,0,0,71729,44.9918,-93.1702
26,2022-05,Mississippi,2358,0,8395,4393,457,415,0,9,1,0,1404,581,2,30,0,0,0,0,14,5,1,1,0,0,18066,33.6071,-88.659
27,2022-05,Missouri,1087,0,18363,11898,1790,1180,1,8,1,2,1144,537,12,243,36,3,0,0,30,36,8,2,0,1,36382,38.6167,-90.1936
28,2022-05,Montana,1035,3,4375,4513,352,322,6,1,1,0,400,366,4,35,7,1,0,0,6,12,1,0,0,0,11440,45.776,-108.498
29,2022-05,Nebraska,3848,53,111,1269,21,4,0,0,0,0,2,19,1,19,5,0,0,0,0,1,0,0,0,0,5353,42.268,-96.8673
